Date(UTC),OrderNo,Pair,Type,Order Price,Order Amount,AvgTrading Price,Filled,Total,status
2022-12-24 23:41:08,16733630641,BTCUSDT,SELL,0.0,0.00625,16846.78968,0.00625,105.2924355,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 23:41:08,16847.00,0.00063,10.61361000,0.00000000BNB,,,,
,2022-12-24 23:41:08,16846.80,0.00078,13.14050400,0.00000000BNB,,,,
,2022-12-24 23:41:08,16846.80,0.00103,17.35220400,0.00000000BNB,,,,
,2022-12-24 23:41:08,16846.75,0.00381,64.18611750,0.00000000BNB,,,,
2022-12-24 23:35:27,16733552466,BTCUSDT,BUY,0.0,0.00625,16838.77,0.00625,105.2423125,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 23:35:27,16838.77,0.00625,105.24231250,0.00000000BNB,,,,
2022-12-24 23:18:58,16733311668,BTCUSDT,SELL,0.0,0.00625,16844.15,0.00625,105.2759375,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 23:18:58,16844.15,0.00625,105.27593750,0.00000000BNB,,,,
2022-12-24 23:04:25,16733096964,BTCUSDT,BUY,0.0,0.00625,16817.762816,0.00625,105.1110176,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 23:04:25,16817.73,0.00161,27.07654530,0.00000000BNB,,,,
,2022-12-24 23:04:25,16817.77,0.00269,45.23980130,0.00000000BNB,,,,
,2022-12-24 23:04:25,16817.78,0.00195,32.79467100,0.00000000BNB,,,,
2022-12-24 20:27:06,16731171759,BTCUSDT,SELL,0.0,0.00624,16840.47,0.00624,105.0845328,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 20:27:06,16840.47,0.00624,105.08453280,0.00000000BNB,,,,
2022-12-24 20:04:53,16730909862,BTCUSDT,BUY,0.0,0.00625,16842.44,0.00625,105.26525,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 20:04:53,16842.44,0.00625,105.26525000,0.00000000BNB,,,,
2022-12-24 18:34:59,16729744420,BTCUSDT,SELL,0.0,0.00625,16836.22,0.00625,105.226375,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 18:34:59,16836.22,0.00625,105.22637500,0.00000000BNB,,,,
2022-12-24 18:29:21,16729675692,BTCUSDT,BUY,0.0,0.00624,16836.06,0.00624,105.0570144,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 18:29:21,16836.06,0.00624,105.05701440,0.00000000BNB,,,,
2022-12-24 17:00:43,16728572378,BTCUSDT,SELL,0.0,0.00624,16837.8380609,0.00624,105.0681095,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 17:00:43,16837.89,0.00161,27.10900290,0.00000000BNB,,,,
,2022-12-24 17:00:43,16837.82,0.00463,77.95910660,0.00000000BNB,,,,
2022-12-24 16:58:22,16728544213,BTCUSDT,BUY,0.0,0.00625,16837.256224,0.00625,105.2328514,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 16:58:22,16837.24,0.00118,19.86794320,0.00000000BNB,,,,
,2022-12-24 16:58:22,16837.26,0.00507,85.36490820,0.00000000BNB,,,,
2022-12-24 14:13:11,16726491325,BTCUSDT,SELL,0.0,0.00626,16819.05,0.00626,105.287253,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 14:13:11,16819.05,0.00626,105.28725300,0.00000000BNB,,,,
2022-12-24 13:43:17,16726103694,BTCUSDT,BUY,0.0,0.00625,16823.945328,0.00625,105.1496583,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 13:43:17,16823.94,0.00588,98.92476720,0.00000000BNB,,,,
,2022-12-24 13:43:17,16824.03,0.00037,6.22489110,0.00000000BNB,,,,
2022-12-24 13:18:46,16725788001,BTCUSDT,SELL,0.0,0.00625,16826.79,0.00625,105.1674375,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 13:18:46,16826.79,0.00625,105.16743750,0.00000000BNB,,,,
2022-12-24 13:01:01,16725579278,BTCUSDT,BUY,0.0,0.00626,16823.54207668,0.00626,105.3153734,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 13:01:01,16823.53,0.00500,84.11765000,0.00000000BNB,,,,
,2022-12-24 13:01:01,16823.59,0.00126,21.19772340,0.00000000BNB,,,,
2022-12-24 12:43:14,16725346222,BTCUSDT,SELL,0.0,0.00626,16822.91,0.00626,105.3114166,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 12:43:14,16822.91,0.00626,105.31141660,0.00000000BNB,,,,
2022-12-24 12:28:48,16725166412,BTCUSDT,BUY,0.0,0.00625,16823.02,0.00625,105.143875,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 12:28:48,16823.02,0.00625,105.14387500,0.00000000BNB,,,,
2022-12-24 12:13:10,16724958473,BTCUSDT,SELL,0.0,0.00625,16831.3,0.00625,105.195625,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 12:13:10,16831.30,0.00625,105.19562500,0.00000000BNB,,,,
2022-12-24 12:04:16,16724833122,BTCUSDT,BUY,0.0,0.00625,16824.609648,0.00625,105.1538103,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 12:04:16,16824.60,0.00181,30.45252600,0.00000000BNB,,,,
,2022-12-24 12:04:16,16824.61,0.00327,55.01647470,0.00000000BNB,,,,
,2022-12-24 12:04:16,16824.61,0.00064,10.76775040,0.00000000BNB,,,,
,2022-12-24 12:04:16,16824.64,0.00053,8.91705920,0.00000000BNB,,,,
2022-12-24 11:26:39,16724323021,BTCUSDT,SELL,0.0,0.00624,16830.45,0.00624,105.022008,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,,
,2022-12-24 11:26:39,16830.45,0.00624,105.02200800,0.00000000BNB,,,,
